module,type,name,res_id,src,value,comments
sce_ticket,model,"ir.model.fields,field_description",sce_ticket.field_sce_ticket_ticket_address,Address,地址,
sce_ticket,model,"ir.model.fields,field_description",sce_ticket.field_sce_ticket_ticket_bank_name,Bank Name,开户行,
sce_ticket,model,"ir.model.fields,field_description",sce_ticket.field_sce_ticket_ticket_bank_number,Bank Number,账号                         ,
sce_ticket,model,"ir.model.fields,field_description",sce_ticket.field_sce_ticket_ticket_create_uid,Created by,创建者,
sce_ticket,model,"ir.model.fields,field_description",sce_ticket.field_sce_ticket_ticket_create_date,Created on,创建时间,
sce_ticket,model,"ir.model.fields,field_description",sce_ticket.field_sce_ticket_ticket_display_name,Display Name,显示名称,
sce_ticket,selection,"sce_ticket.ticket,state",0,Draft,编缉版本,
sce_ticket,model,"ir.model.fields,field_description",sce_ticket.field_sce_ticket_ticket_duty_number,Duty Number,税号,
sce_ticket,model,"ir.model.fields,field_description",sce_ticket.field_sce_ticket_ticket_id,ID,序号,
sce_ticket,model,"ir.model.fields,field_description",sce_ticket.field_sce_ticket_ticket_image,Image,图片,
sce_ticket,model,"ir.model.fields,field_description",sce_ticket.field_sce_ticket_ticket___last_update,Last Modified on,最新修改时间,
sce_ticket,model,"ir.model.fields,field_description",sce_ticket.field_sce_ticket_ticket_write_uid,Last Updated by,最新修改人,
sce_ticket,model,"ir.model.fields,field_description",sce_ticket.field_sce_ticket_ticket_write_date,Last Updated on,最新更新时间,
sce_ticket,model,"ir.model.fields,field_description",sce_ticket.field_sce_ticket_ticket_name,Name,名称,
sce_ticket,model,"ir.model.fields,field_description",sce_ticket.field_sce_ticket_ticket_phone,Phone,电话,
sce_ticket,selection,"sce_ticket.ticket,state",0,Published,发布,
sce_ticket,model,"ir.model.fields,field_description",sce_ticket.field_sce_ticket_ticket_state,State,状态,
sce_ticket,model,"ir.model.fields,help",sce_ticket.field_sce_ticket_ticket_image,This field holds the image of the fault.,缺陷图片说明,
sce_ticket,model,"ir.ui.menu,name",sce_ticket.menu_root,Ticket,开票管理,
sce_ticket,model,"res.groups,name",sce_ticket.ticket_admin,Ticket / Administrator,开票 / 管理员,
sce_ticket,model,"ir.ui.menu,name",sce_ticket.menu_ticket,Ticket Management,开票管理,
sce_ticket,model,"ir.actions.act_window,name",sce_ticket.action_window_ticket,Ticket.action.window,开票信息,
sce_ticket,model,"ir.model,name",sce_ticket.model_sce_ticket_ticket,sce_ticket.ticket,开票,
